time,chlora,obs,lon,lat,depth
2021-03-10 00:54:25.870537728,0.0,3278662,-125.3896636,44.52894899,112.3240956054432
2021-03-10 00:54:32.639959040,0.0,3278668,-125.3896636,44.52894899,111.96615228049166
2021-03-10 00:54:33.768182784,0.0,3278669,-125.3896636,44.52894899,111.92166692063401
2021-03-10 00:54:38.280990208,0.0,3278673,-125.3896636,44.52894899,111.73177221560265
2021-03-10 00:54:43.922076160,0.0107,3278678,-125.3896636,44.52894899,111.46244117600578
2021-03-10 00:54:45.050305536,0.0,3278679,-125.3896636,44.52894899,111.40608819470245
2021-03-10 00:54:49.563191296,0.0,3278683,-125.3896636,44.52894899,111.18347204484361
2021-03-10 00:54:50.691612160,0.0,3278684,-125.3896636,44.52894899,111.13244042269699
2021-03-10 00:54:52.948052480,0.0,3278686,-125.3896636,44.52894899,111.03305710128838
2021-03-10 00:54:55.203962368,0.0107,3278688,-125.3896636,44.52894899,110.9303052107384
2021-03-10 00:54:57.459834368,0.0107,3278690,-125.3896636,44.52894899,110.82163208443298
2021-03-10 00:54:58.587749376,0.0,3278691,-125.3896636,44.52894899,110.76908941359224
2021-03-10 00:55:04.228008960,0.0107,3278696,-125.3896636,44.52894899,110.50230936302067
2021-03-10 00:55:22.279657472,0.0107,3278712,-125.3896636,44.52894899,109.62621287432528
2021-03-10 00:55:29.049100288,0.0,3278718,-125.3896636,44.52894899,109.33338295656237
2021-03-10 00:55:38.074866688,0.0,3278726,-125.3896636,44.52894899,108.88270749631259
2021-03-10 00:55:40.331301888,0.0,3278728,-125.3896636,44.52894899,108.76679730309765
2021-03-10 00:55:48.228795392,0.0,3278735,-125.3896636,44.52894899,108.46064483179849
2021-03-10 00:55:53.869519872,0.0107,3278740,-125.3896636,44.52894899,108.16646821281495
2021-03-10 00:55:54.997473792,0.0,3278741,-125.3896636,44.52894899,108.09098264541558
2021-03-10 00:55:56.125441024,0.0,3278742,-125.3896636,44.52894899,108.01845487420279
2021-03-10 00:55:58.381309952,0.0,3278744,-125.3896636,44.52894899,107.89851058251504
2021-03-10 00:56:02.893194752,0.0,3278748,-125.3896636,44.52894899,107.79299394134004
2021-03-10 00:56:06.277795328,0.0214,3278751,-125.3896636,44.52894899,107.64554598653716
2021-03-10 00:56:23.201152512,0.0,3278766,-125.3896636,44.52894899,106.72994044765713
2021-03-10 00:56:28.842345472,0.0,3278771,-125.3896636,44.52894899,106.55057413832154
2021-03-10 00:56:33.355237376,0.0107,3278775,-125.3896636,44.52894899,106.30463956538058
2021-03-10 00:56:35.611733504,0.0107,3278777,-125.3896636,44.52894899,106.1620378891488
2021-03-10 00:56:43.509450752,0.0107,3278784,-125.3896636,44.52894899,105.85844525880785
2021-03-10 00:56:46.894194688,0.0,3278787,-125.3896636,44.52894899,105.65374641626194
2021-03-10 00:56:50.278931968,0.0,3278790,-125.3896636,44.52894899,105.49559893555114
2021-03-10 00:56:52.535386112,0.0,3278792,-125.3896636,44.52894899,105.42741797311082
2021-03-10 00:56:58.174996480,0.0,3278797,-125.3896636,44.52894899,105.17678355684485
2021-03-10 00:57:04.943525376,0.0,3278803,-125.3896636,44.52894899,104.83193411449265
2021-03-10 00:57:17.353894912,0.0,3278814,-125.3896636,44.52894899,104.26190692646693
2021-03-10 00:57:18.482163712,0.0,3278815,-125.3896636,44.52894899,104.21403533142215
2021-03-10 00:57:24.123491840,0.0,3278820,-125.3896636,44.52894899,103.90450763702474
2021-03-10 00:57:27.508172800,0.0,3278823,-125.3896636,44.52894899,103.70630847837839
2021-03-10 00:57:41.046968320,0.0,3278835,-125.3896636,44.52894899,103.13050350394757
2021-03-10 00:57:46.688018432,0.0107,3278840,-125.3896636,44.52894899,102.82634964238852
2021-03-10 00:57:57.968723456,0.0,3278850,-125.3896636,44.52894899,102.36271146624114
2021-03-10 00:57:59.096669696,0.0,3278851,-125.3896636,44.52894899,102.28480200463686
2021-03-10 00:58:00.224582656,0.0107,3278852,-125.3896636,44.52894899,102.20693843720404
2021-03-10 00:58:01.352559616,0.0,3278853,-125.3896636,44.52894899,102.13295044610562
2021-03-10 00:58:02.480521728,0.0,3278854,-125.3896636,44.52894899,102.06703359413282
2021-03-10 00:58:04.737004032,0.0,3278856,-125.3896636,44.52894899,101.9663671043866
2021-03-10 00:58:05.865320448,0.6099,3278857,-125.3896636,44.52894899,101.92867092983886
2021-03-10 00:58:06.994360320,0.4815,3278858,-125.3896636,44.52894899,101.89507958094221
2021-03-10 00:58:08.122643968,0.9951,3278859,-125.3896636,44.52894899,101.86566322231907
2021-03-10 00:58:09.251689984,0.5564,3278860,-125.3896636,44.52894899,101.83458659958747
2021-03-10 00:58:10.380772864,0.3424,3278861,-125.3896636,44.52894899,101.79817087264728
2021-03-10 00:58:11.509005312,0.18189999999999998,3278862,-125.3896636,44.52894899,101.75789263871819
